Interest,Gender Majority,Gender Minority,Race Majority,Race Minority,Major,Non-Major
Games,68%,36%,64%,56%,67%,56%
Reading,12%,29%,14%,17%,15%,15%
Arts/Crafts,14%,36%,18%,21%,14%,22%
Music/Film/Audio/Visual,33%,38%,31%,39%,36%,34%
Athletics,56%,48%,57%,51%,55%,54%
STEM,36%,14%,35%,25%,29%,32%
Other Academic Disciplines,8%,17%,11%,9%,8%,12%
Socializing,12%,19%,12%,16%,12%,14%
Sleep/Relaxing,3%,5%,2%,6%,3%,4%
Animals,1%,5%,2%,1%,1%,2%
Culinary,3%,21%,5%,10%,6%,8%
Fashion/Cosmetics,1%,7%,3%,3%,3%,3%
Nature/Outdoors,25%,24%,29%,18%,22%,27%
Travel,5%,2%,4%,4%,3%,5%
Automotive,12%,2%,10%,9%,8%,12%